so46716448,2026-08-25T08:00:00+09:00,2632720,97,ちいかわ シーズン2　第370話　「流れ・スイカ①」,2116,47,10,49,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716448/46716448.19419253
so46716449,2026-08-25T17:00:00+09:00,2632720,1460,おねがいアイプリ　第21話　まとめて教えてフォーチュっちゅー,262,0,3,0,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716449/46716449.74970907
so46716450,2026-08-25T00:30:00+09:00,2632720,1430,LIAR GAME　第21話　先鋒戦,2050,257,5,28,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716450/46716450.28224073
so46716451,2026-08-25T00:00:00+09:00,2632720,1430,骸骨騎士様、只今異世界へお出掛け中Ⅱ　第8話　潮騒よ聞け、哀しきくノ一の想い,5828,619,18,134,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716451/46716451.93005939
so46716452,2026-08-25T02:30:00+09:00,2632720,1421,捨てられ聖女の異世界ごはん旅 隠れスキルでキャンピングカーを召喚しました　第8話　煮込み＆イクラ『私とあの子、どっちを選ぶの!?』　米『両方とも大好きだ！』,5439,642,11,143,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716452/46716452.43055853
so46716453,2026-08-25T00:00:00+09:00,2632720,1421,転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件　第8話　「心の、居場所」,2489,363,7,34,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716453/46716453.70515226
so46716454,2026-08-25T22:00:00+09:00,2632720,330,身代わり令嬢を救ったのは冷酷無慈悲な氷の王子の愛でした　第8話　孤独を溶かした温もり,633,30,1,11,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716454/46716454.18613119
so46716455,2026-08-25T21:30:00+09:00,2632720,1429,対ありでした。～お嬢さまは格闘ゲームなんてしない～　第8話　確実に負ける,6640,864,11,146,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716455/46716455.79063708
so46716456,2026-08-25T22:30:00+09:00,2632720,1480,無自覚聖女は今日も無意識に力を垂れ流す　第9話　暴かれた罪,3435,653,5,65,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716456/46716456.21591333
so46716457,2026-08-25T02:30:00+09:00,2632720,1425,ブチ切れ令嬢は報復を誓いました。 ～魔導書の力で祖国を叩き潰します～　第8話　アーティ伯爵家の悲劇,10536,1628,19,181,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716457/46716457.31666596
so46716458,2026-08-25T02:25:00+09:00,2632720,1370,株式会社マジルミエ 第2期　第8話　一人前になる場所は選べるんや,2044,232,15,59,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716458/46716458.73413872
so46716459,2026-08-25T00:00:00+09:00,2632720,1380,これ描いて死ね　第7話　ロストワールド〜殺すつもりで描こう,3082,543,14,77,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716459/46716459.25720854
