so46716448,2026-08-25T08:00:00+09:00,2632720,97,ちいかわ シーズン2　第370話　「流れ・スイカ①」,3109,56,14,60,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716448/46716448.19419253
so46716449,2026-08-25T17:00:00+09:00,2632720,1460,おねがいアイプリ　第21話　まとめて教えてフォーチュっちゅー,400,0,3,0,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716449/46716449.74970907
so46716450,2026-08-25T00:30:00+09:00,2632720,1430,LIAR GAME　第21話　先鋒戦,2720,294,4,38,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716450/46716450.28224073
so46716451,2026-08-25T00:00:00+09:00,2632720,1430,骸骨騎士様、只今異世界へお出掛け中Ⅱ　第8話　潮騒よ聞け、哀しきくノ一の想い,7097,669,14,144,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716451/46716451.93005939
so46716452,2026-08-25T02:30:00+09:00,2632720,1421,捨てられ聖女の異世界ごはん旅 隠れスキルでキャンピングカーを召喚しました　第8話　煮込み＆イクラ『私とあの子、どっちを選ぶの!?』　米『両方とも大好きだ！』,6413,686,11,155,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716452/46716452.43055853
so46716453,2026-08-25T00:00:00+09:00,2632720,1421,転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件　第8話　「心の、居場所」,3027,423,4,38,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716453/46716453.70515226
so46716454,2026-08-25T22:00:00+09:00,2632720,330,身代わり令嬢を救ったのは冷酷無慈悲な氷の王子の愛でした　第8話　孤独を溶かした温もり,698,31,1,12,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716454/46716454.18613119
so46716455,2026-08-25T21:30:00+09:00,2632720,1429,対ありでした。～お嬢さまは格闘ゲームなんてしない～　第8話　確実に負ける,7725,876,10,159,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716455/46716455.79063708
so46716456,2026-08-25T22:30:00+09:00,2632720,1480,無自覚聖女は今日も無意識に力を垂れ流す　第9話　暴かれた罪,4062,694,3,75,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716456/46716456.21591333
so46716457,2026-08-25T02:30:00+09:00,2632720,1425,ブチ切れ令嬢は報復を誓いました。 ～魔導書の力で祖国を叩き潰します～　第8話　アーティ伯爵家の悲劇,12354,1767,19,199,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716457/46716457.31666596
so46716458,2026-08-25T02:25:00+09:00,2632720,1370,株式会社マジルミエ 第2期　第8話　一人前になる場所は選べるんや,2530,243,3,67,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716458/46716458.73413872
so46716459,2026-08-25T00:00:00+09:00,2632720,1380,これ描いて死ね　第7話　ロストワールド〜殺すつもりで描こう,4125,605,13,86,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716459/46716459.25720854
so46716460,2026-08-25T12:00:00+09:00,2632720,1420,「逃げ上手の若君」第二期　第十八回　神になった少年,3734,445,10,72,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716460/46716460.10952501
so46716461,2026-08-25T01:25:00+09:00,2632720,1419,盗掘王　第7話　遺物の復元,936,12,1,11,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716461/46716461.95514905
so46716802,2026-09-01T00:00:00+09:00,2632720,1751,特捜戦車隊ドミニオン　VOL.1　出撃！タンクポリス!!,2687,151,83,76,updated_at_was_moved,https://nicovideo.cdn.nimg.jp/thumbnails/46716802/46716802.59459036
